step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
13600,472.64795994758606,27,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006584229413419962,0.0,0.0,0.006584229413419962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033671218901872635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13800,476.13725209236145,27,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006662676576524973,0.0,0.0,0.006662676576524973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05346111208200455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000,479.63104486465454,27,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00627427501603961,0.0,0.0,0.00627427501603961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05315845087170601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14200,485.6838347911835,28,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006573768332600594,0.0,0.0,0.006573768332600594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051708023995161057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14400,489.1865088939667,28,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006779759656637907,0.0,0.0,0.006779759656637907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13532979786396027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14600,495.34868597984314,29,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006536019966006279,0.0,0.0,0.006536019966006279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042047739028930664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14800,498.84552216529846,29,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006029889918863773,0.0,0.0,0.006029889918863773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034277819097042084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,502.3431136608124,29,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006153422873467207,0.0,0.0,0.006153422873467207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07737618684768677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15200,527.0911920070648,30,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00637609651312232,0.0,0.0,0.00637609651312232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08548516780138016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15400,530.5939643383026,30,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006195900961756706,0.0,0.0,0.006195900961756706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492999404668808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15600,536.5584115982056,31,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0067596836015582085,0.0,0.0,0.0067596836015582085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08178403228521347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15800,540.0631258487701,31,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00623745284974575,0.0,0.0,0.00623745284974575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034274518489837646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000,543.5680215358734,31,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006156743038445711,0.0,0.0,0.006156743038445711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08791930228471756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16200,549.8349170684814,32,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00646181171759963,0.0,0.0,0.00646181171759963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08850980550050735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16400,553.3309423923492,32,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.005862322170287371,0.0,0.0,0.005862322170287371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018656766042113304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16600,577.905287027359,33,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00631759874522686,0.0,0.0,0.00631759874522686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046945590525865555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16800,581.4105832576752,33,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.006181167904287577,0.0,0.0,0.006181167904287577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025278756394982338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
